ürün adý,cilt tipi,kategori,içerik,is_exist
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Water,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Glycerin,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Niacinamide,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Hyaluronic Acid,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Panthenol,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Aloe Vera Extract,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Vitamin E,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Citric Acid,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Phenoxyethanol,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Fragrance,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Butylene Glycol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Sodium Benzoate,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Potassium Sorbate,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Cetearyl Alcohol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Caprylyl Glycol,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Allantoin,0
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Green Tea Extract,1
Cyrene AHA/BHA Exfoliating Gentle Cleansing Gel (Combination),KARMA,Temizleyici,Chamomile Extract,1
